"cc_iso3c","structure_id","value","rank","rank_n","rank_label"
"SGP",0,0.85,1,1,"1"
"NOR",0,0.84,2,1,"2"
"CAN",0,0.83,3,2,"=3"
"DNK",0,0.83,3,2,"=3"
"FIN",0,0.82,5,1,"5"
"GBR",0,0.8,6,2,"=6"
"NZL",0,0.8,6,2,"=6"
"AUS",0,0.79,8,1,"8"
"ESP",0,0.78,9,4,"=9"
"EST",0,0.78,9,4,"=9"
"FRA",0,0.78,9,4,"=9"
"USA",0,0.78,9,4,"=9"
"DEU",0,0.77,13,2,"=13"
"NLD",0,0.77,13,2,"=13"
"KOR",0,0.76,15,2,"=15"
"LTU",0,0.76,15,2,"=15"
"BEL",0,0.75,17,1,"17"
"AUT",0,0.74,18,1,"18"
"LVA",0,0.73,19,1,"19"
"ITA",0,0.72,20,4,"=20"
"PRT",0,0.72,20,4,"=20"
"SWE",0,0.72,20,4,"=20"
"URY",0,0.72,20,4,"=20"
"IRL",0,0.7,24,3,"=24"
"ISR",0,0.7,24,3,"=24"
"SVN",0,0.7,24,3,"=24"
"CHL",0,0.69,27,1,"27"
"CZE",0,0.67,28,2,"=28"
"GRC",0,0.67,28,2,"=28"
"POL",0,0.66,30,2,"=30"
"SVK",0,0.66,30,2,"=30"
"BRA",0,0.64,32,2,"=32"
"COL",0,0.64,32,2,"=32"
"CRI",0,0.63,34,3,"=34"
"MLT",0,0.63,34,3,"=34"
"MUS",0,0.63,34,3,"=34"
"HRV",0,0.62,37,1,"37"
"DOM",0,0.61,38,2,"=38"
"IDN",0,0.61,38,2,"=38"
"KAZ",0,0.6,40,2,"=40"
"MYS",0,0.6,40,2,"=40"
"ALB",0,0.58,42,8,"=42"
"BGR",0,0.58,42,8,"=42"
"GEO",0,0.58,42,8,"=42"
"HUN",0,0.58,42,8,"=42"
"MDA",0,0.58,42,8,"=42"
"MEX",0,0.58,42,8,"=42"
"THA",0,0.58,42,8,"=42"
"UKR",0,0.58,42,8,"=42"
"IND",0,0.57,50,1,"50"
"ARM",0,0.56,51,8,"=51"
"CHN",0,0.56,51,8,"=51"
"JOR",0,0.56,51,8,"=51"
"MNG",0,0.56,51,8,"=51"
"PRY",0,0.56,51,8,"=51"
"RUS",0,0.56,51,8,"=51"
"SRB",0,0.56,51,8,"=51"
"TUR",0,0.56,51,8,"=51"
"MKD",0,0.55,59,3,"=59"
"PER",0,0.55,59,3,"=59"
"SAU",0,0.55,59,3,"=59"
"ARG",0,0.54,62,5,"=62"
"KEN",0,0.54,62,5,"=62"
"PAN",0,0.54,62,5,"=62"
"PHL",0,0.54,62,5,"=62"
"VNM",0,0.54,62,5,"=62"
"ROU",0,0.53,67,2,"=67"
"XKK",0,0.53,67,2,"=67"
"ECU",0,0.52,69,4,"=69"
"MNE",0,0.52,69,4,"=69"
"RWA",0,0.52,69,4,"=69"
"ZAF",0,0.52,69,4,"=69"
"AZE",0,0.5,73,6,"=73"
"BEN",0,0.5,73,6,"=73"
"BWA",0,0.5,73,6,"=73"
"MAR",0,0.5,73,6,"=73"
"TUN",0,0.5,73,6,"=73"
"ZMB",0,0.5,73,6,"=73"
"TTO",0,0.49,79,2,"=79"
"UGA",0,0.49,79,2,"=79"
"JAM",0,0.48,81,2,"=81"
"UZB",0,0.48,81,2,"=81"
"LKA",0,0.47,83,1,"83"
"GHA",0,0.46,84,2,"=84"
"GTM",0,0.46,84,2,"=84"
"BOL",0,0.44,86,2,"=86"
"KGZ",0,0.44,86,2,"=86"
"SEN",0,0.43,88,1,"88"
"NPL",0,0.42,89,1,"89"
"NAM",0,0.41,90,3,"=90"
"NGA",0,0.41,90,3,"=90"
"PAK",0,0.41,90,3,"=90"
"BGD",0,0.4,93,5,"=93"
"ETH",0,0.4,93,5,"=93"
