"structure_id","level","name","label"
0,"index","bipa_index","Blavatnik Index of Public Administration"
10000,"domain","strled","Strategy & Leadership"
10100,"theme","strled_str","Strategic capacity"
10102,"indicator","str_prioritisation","Prioritisation"
10102.01,"metric","strategic_priorities","Setting strategic priorities"
10102.02,"metric","resource_efficiency","Resource efficiency"
10102.03,"metric","strategic_influence","Influence of strategy units"
10102.04,"metric","review_priorities","Reviewing policy priorities"
10300,"theme","strled_opn","Openness & communications"
10301,"indicator","opn_rti","Access to information"
10301.01,"metric","right_to_info","Right to information"
10302,"indicator","opn_government","Open government"
10302.01,"metric","openness_portals","Open government and data portals"
10302.03,"metric","published_law","Published laws"
10303,"indicator","opn_engagement","Engagement and feedback"
10303.01,"metric","civic_consultation1","Consultation with social actors"
10303.02,"metric","civic_consultation2","Consultation with civil society"
10303.03,"metric","complaint_mechanisms","Complaint mechanisms"
10303.04,"metric","digital_participation","Digital participation methods"
10400,"theme","strled_int","Trust & integrity"
10401,"indicator","int_impartiality","Impartial behaviour"
10401.01,"metric","impartial_implementation","Policy implementation is impartial"
10401.02,"metric","interference_free","Decisions free of interference"
10401.03,"metric","administrative_processes","Respect for due process"
10401.04,"metric","impartial_duties","Officials impartial in their duties"
10402,"indicator","int_corrupution","Corruption"
10402.01,"metric","officials_corrupt","Officials involved in corruption"
10402.02,"metric","favours_bribes","Officials accept bribes"
10402.03,"metric","misuse_resources","Officials misuse resources"
10403,"indicator","int_sanctions","Sanctions"
10403.01,"metric","abuse_prosecuted","Officials prosecuted for abuse"
10403.02,"metric","misconduct_sanctioned","Officials sanctioned for misconduct"
10406,"indicator","int_data","Integrity data"
10406.01,"metric","integrity_data","Data for public integrity"
10500,"theme","strled_inv","Innovation"
10501,"indicator","inv_approaches","Innovative approach"
10501.01,"metric","innovative_flexibility","Innovative and flexible approach"
10501.02,"metric","digital_innovation","Digital innovation support"
10501.03,"metric","tax_innovation","Innovative tax agency"
20000,"domain","pubpol","Public Policy"
20100,"theme","pubpol_pol","Policy making"
20101,"indicator","pol_development","Policy coordination"
20101.01,"metric","coordinate_policy1","Coordinating policy proposals"
20101.02,"metric","coordinate_policy2","Coordinating conflicting objectives"
20300,"theme","pubpol_reg","Regulation"
20302,"indicator","reg_enforcement","Regulatory enforcement"
20302.01,"metric","enforcement_effective","Regulations enforced effectively"
20302.02,"metric","enforcement_proper","Regulations enforced properly"
20400,"theme","publpol_crm","Crisis & risk management"
20401,"indicator","crm_hazards","Natural hazards"
20401.01,"metric","disaster_risk","Disaster risk reduction strategies"
20402,"indicator","crm_cyber","Cybersecurity"
20402.01,"metric","cyber_capacity","Cybersecurity capacity"
20402.02,"metric","cyber_cooperation","Cybersecurity cooperation"
20402.03,"metric","cyber_laws","Cybersecurity legal measures"
20402.04,"metric","cyber_organisational","Cybersecurity organisational measures"
20402.05,"metric","cyber_technical","Cybersecurity technical measures"
20500,"theme","pubpol_dat","Use of data"
20501,"indicator","dat_capability","Data capability and governance"
20501.01,"metric","data_governance","Governance of data and statistics"
20501.02,"metric","data_capability","Data capability"
20502,"indicator","dat_availability","Data availability"
20502.01,"metric","economic_statistics","Economic statistics availability"
20502.02,"metric","company_data","Company data availability"
20502.03,"metric","land_data","Land data availability"
20502.04,"metric","social_statistics","Social statistics availability"
20502.05,"metric","health_data","Health data availability"
20502.06,"metric","environmental_statistics","Environmental statistics availability"
20502.07,"metric","climate_data","Climate data availability"
20503,"indicator","dat_coverage","Data coverage"
20503.01,"metric","econstats_coverage","Economic statistics coverage"
20503.02,"metric","envirostats_coverage","Environmental statistics coverage"
20503.03,"metric","socialstats_coverage","Social statistics coverage"
20504,"indicator","dat_reuse","Data re-use"
20504.01,"metric","statistics_usage","Use of statistics in policy documents"
30000,"domain","natdel","National Delivery"
30100,"theme","natdel_sys","System oversight"
30101,"indicator","sys_implementation","Policy implementation"
30101.01,"metric","policy_implementation1","Achieve policy objectives"
30101.02,"metric","policy_implementation2","Implement policy objectives"
30200,"theme","natdel_dig","Digital services"
