"cc_name_short","cc_iso3c","cc_status","bipa_region","income_group","dq_grade","x_a","p_m","included"
"Aruba","ABW","Non UN-member entity","Americas","High income","F",34.583333333333336,0.24390243902439024,"false"
"Afghanistan","AFG","UN member","Middle East, North Africa & Central Asia","Low income","E",77.41666666666666,0.7073170731707317,"false"
"Angola","AGO","UN member","Sub-Saharan Africa","Lower middle income","C",113.83333333333331,0.8536585365853658,"true"
"Anguilla","AIA","Non UN-member entity","Americas","Not classified","F",6.25,0.07317073170731707,"false"
"Albania","ALB","UN member","Eastern Europe","Upper middle income","A",131.83333333333331,0.9146341463414634,"true"
"Andorra","AND","UN member","Western Europe","High income","F",21.416666666666668,0.21951219512195122,"false"
"United Arab Emirates","ARE","UN member","Middle East, North Africa & Central Asia","High income","E",73,0.6707317073170732,"false"
"Argentina","ARG","UN member","Americas","Upper middle income","A",140.08333333333334,0.926829268292683,"true"
"Armenia","ARM","UN member","Middle East, North Africa & Central Asia","Upper middle income","C",123.83333333333333,0.8414634146341463,"true"
"Antigua & Barbuda","ATG","UN member","Americas","High income","E",54,0.5,"false"
"Australia","AUS","UN member","Asia and Pacific","High income","B",124.08333333333333,0.8902439024390244,"true"
"Austria","AUT","UN member","Western Europe","High income","D",89.08333333333333,0.7439024390243902,"true"
"Azerbaijan","AZE","UN member","Middle East, North Africa & Central Asia","Upper middle income","D",92.5,0.7195121951219512,"true"
"Burundi","BDI","UN member","Sub-Saharan Africa","Low income","E",87.58333333333333,0.6463414634146342,"false"
"Belgium","BEL","UN member","Western Europe","High income","D",102.75,0.7926829268292683,"true"
"Benin","BEN","UN member","Sub-Saharan Africa","Lower middle income","B",121.58333333333333,0.8536585365853658,"true"
"Burkina Faso","BFA","UN member","Sub-Saharan Africa","Low income","C",115.24999999999999,0.8414634146341463,"true"
"Bangladesh","BGD","UN member","Asia and Pacific","Lower middle income","B",118.08333333333331,0.8902439024390244,"true"
"Bulgaria","BGR","UN member","Eastern Europe","Upper middle income","A",151.75,0.9634146341463414,"true"
"Bahrain","BHR","UN member","Middle East, North Africa & Central Asia","High income","E",62,0.5487804878048781,"false"
"Bahamas","BHS","UN member","Americas","High income","F",51.083333333333336,0.4634146341463415,"false"
"Bosnia & Herzegovina","BIH","UN member","Eastern Europe","Upper middle income","E",69.41666666666666,0.6341463414634146,"false"
"Belarus","BLR","UN member","Eastern Europe","Upper middle income","C",111.83333333333331,0.8414634146341463,"true"
"Belize","BLZ","UN member","Americas","Upper middle income","E",77.75,0.6097560975609756,"false"
"Bermuda","BMU","Non UN-member entity","Americas","High income","F",2.6666666666666665,0.08536585365853659,"false"
"Bolivia","BOL","UN member","Americas","Lower middle income","B",117.99999999999999,0.8536585365853658,"true"
"Brazil","BRA","UN member","Americas","Upper middle income","A",128.08333333333331,0.9024390243902439,"true"
"Barbados","BRB","UN member","Americas","High income","E",85.25,0.6585365853658537,"false"
"Brunei","BRN","UN member","Asia and Pacific","High income","F",32.75,0.35365853658536583,"false"
"Bhutan","BTN","UN member","Asia and Pacific","Lower middle income","E",81.58333333333333,0.6341463414634146,"false"
"Botswana","BWA","UN member","Sub-Saharan Africa","Upper middle income","A",128.08333333333331,0.9146341463414634,"true"
"Central African Republic","CAF","UN member","Sub-Saharan Africa","Low income","E",80.58333333333333,0.6219512195121951,"false"
"Canada","CAN","UN member","Americas","High income","B",119.75,0.8780487804878049,"true"
"Switzerland","CHE","UN member","Western Europe","High income","E",67.08333333333333,0.6097560975609756,"false"
"Chile","CHL","UN member","Americas","High income","A",139.75,0.9512195121951219,"true"
"China","CHN","UN member","Asia and Pacific","Upper middle income","D",99.08333333333331,0.8170731707317073,"true"
"Côte d'Ivoire","CIV","UN member","Sub-Saharan Africa","Lower middle income","E",74.25,0.6585365853658537,"false"
"Cameroon","CMR","UN member","Sub-Saharan Africa","Lower middle income","C",103.83333333333331,0.8414634146341463,"true"
"Congo (DRC)","COD","UN member","Sub-Saharan Africa","Low income","E",76.16666666666666,0.6829268292682927,"false"
"Congo (ROC)","COG","UN member","Sub-Saharan Africa","Lower middle income","E",73.33333333333333,0.5975609756097561,"false"
"Cook Islands","COK","Non UN-member entity","Asia and Pacific","Not classified","F",27.666666666666664,0.1951219512195122,"false"
"Colombia","COL","UN member","Americas","Upper middle income","A",128.08333333333331,0.9146341463414634,"true"
"Comoros","COM","UN member","Sub-Saharan Africa","Lower middle income","F",63,0.4634146341463415,"false"
"Cabo Verde","CPV","UN member","Sub-Saharan Africa","Lower middle income","E",60.5,0.5365853658536586,"false"
"Costa Rica","CRI","UN member","Americas","Upper middle income","A",140.08333333333334,0.9390243902439024,"true"
"Cuba","CUB","UN member","Americas","Upper middle income","E",63.583333333333336,0.5853658536585366,"false"
"Cyprus","CYP","UN member","Eastern Europe","High income","E",73.25,0.6707317073170732,"false"
"Czechia","CZE","UN member","Eastern Europe","High income","A",151.75,0.9634146341463414,"true"
"Germany","DEU","UN member","Western Europe","High income","D",101.16666666666666,0.8292682926829268,"true"
"Djibouti","DJI","UN member","Sub-Saharan Africa","Lower middle income","F",42.25,0.43902439024390244,"false"
"Dominica","DMA","UN member","Americas","Upper middle income","F",53,0.47560975609756095,"false"
"Denmark","DNK","UN member","Western Europe","High income","B",116.16666666666666,0.8780487804878049,"true"
"Dominican Republic","DOM","UN member","Americas","Upper middle income","B",126.58333333333333,0.8536585365853658,"true"
"Algeria","DZA","UN member","Middle East, North Africa & Central Asia","Lower middle income","E",53.25,0.5365853658536586,"false"
"Zanzibar","EAZ","Non UN-member entity","Sub-Saharan Africa","Not classified","F",9.833333333333334,0.10975609756097561,"false"
