structure_id,metric,label,source_variable,source_label,scope,transformation
10101.01,organisational_reform,Organisational reform,sgi_institutional_reform,To what extent does the government improve its strategic capacity by changing the institutional arrangements of governing?,oecd_eu,
10101.02,institutional_monitoring,Institutional monitoring,sgi_self_monitoring,To what extent do actors within the government monitor whether institutional arrangements of governing are appropriate?,oecd_eu,
10101.03,domestic_adaptation,Domestic adaptation,sgi_domestic_adaptation,To what extent does the government respond to international and supranational developments by adapting domestic government structures?,oecd_eu,
10102.01,strategic_priorities,Setting strategic priorities,bti_govt_set_priorities,To what extent does the government set and maintain strategic priorities?,global,bti_rescale
10102.02,resource_efficiency,Resource efficiency,bti_resource_efficiency,"To what extent does the government make efficient use of available human, financial and organizational resources?",global,bti_rescale
10102.03,strategic_influence,Influence of strategy units,sgi_strategic_planning,How much influence do strategic planning units and bodies have on government decision-making?,global,sgi_rescale
10102.04,review_priorities,Reviewing policy priorities,sgi_go_expertise,Does the government office/prime minister's office have the expertise to evaluate ministerial draft bills according to the government's priorities?,global,sgi_rescale
10201.01,informal_coordination,Informal coordination,sgi_informal_coordination,How effectively do informal coordination mechanisms complement formal mechanisms of inter-ministerial coordination?,oecd_eu,
10201.02,strategic_involvement,Involvement of strategy units,sgi_line_ministries,To what extent do line ministries involve the government office/prime minister's office in the preparation of policy proposals?,oecd_eu,
10201.03,crossgovt_working,Cross-government working,sgi_official_coordination,How effectively do ministry officials/civil servants coordinate policy proposals?,oecd_eu,
10202.01,international_collaboration,International collaboration,sgi_international_collaboration,To what extent is the government able to collaborate effectively with international efforts to foster global public goods?,oecd_eu,
10301.01,right_to_info,Right to information,roli_right_to_info,Right to information,global,
10301.02,access_gov_info,Access to official information,sgi_access_gov_info,To what extent can citizens obtain official information,oecd_eu,
10302.01,openness_portals,Open government and data portals,gtmi_openness,Open government and data portals,global,
10302.03,published_law,Published laws,roli_published_law,Publicized laws and government data,global,
10302.04,open_decisions,Openness of decision making,pii_open_decisions,Openness of meetings and decisions,oecd_eu,
10302.05,openness_functions,Open government functions,pii_openness_functions,Supporting functions for open government,oecd_eu,
10302.06,openness_regulations,Open government regulations,pii_openness_regulations,Regulations for open government,oecd_eu,
